athlete,country
Mohammad Reza Tayebi,IRI
Nick Palmer,NZL
Mohammed Daoud B Tolu,KSA
Djimon Gumbs,IVB
Jesper Arbinge,SWE
Mohamed Khalifa,EGY
Haochen Zhang,CHN
Ali Peker,TUR
Ryan Crouser,USA
Mykolas Alekna,LTU
Matthew Denny,AUS
Kristjan Čeh,SLO
Ralford Mullings,JAM
Sam Mattis,USA
Lawrence Okoye,GBR
Lolassonn Djouhan,FRA
Daniel Ståhl,SWE
Mika Sosna,GER
Henrik Janssen,GER
Claudio Romero,CHI
Shaquille Emanuelson,NED
Steven Richter,GER
Connor Bell,NZL
Mauricio Ortega,COL
Marcus Gustaveson,USA
Reggie Jagers III,USA
Jordan Guehaseim,FRA
Juan Caicedo,ECU
Nicholas Percy,GBR
Alex Rose,SAM
Emanuel Sousa,POR
Mario Alberto Díaz,CUB
Abuduaini Tuergong,CHN
Ruben Rolvink,NED
Lukas Weißhaidinger,AUT
Marek Bárta,CZE
Andrew Evans,USA
Andrius Gudžius,LTU
Alin Alexandru Firfirică,ROU
Fedrick Dacres,JAM
Martynas Alekna,LTU
Diego Casas,ESP
Victor Hogan,RSA
Daniel Jasinski,GER
Dimitrios Pavlidis,GRE
Masateru Yugami,JPN
Wellinton Fernandes da Cruz Filho,BRA
Chad Wright,JAM
Bence Halász,HUN
Rudy Winkler,USA
Ethan Katzberg,CAN
Yann Chaussinand,FRA
Mykhaylo Kokhan,UKR
Merlin Hummel,GER
Paweł Fajdek,POL
Trey Knight,USA
Angelos Mantzouranis,GRE
Daniel Haugh,USA
Thomas Mardal,NOR
Patrik Hájek,CZE
Konstantinos Zaltos,GRE
Ármin Szabados,HUN
Volodymyr Myslyvčuk,CZE
Denzel Comenentia,NED
Joaquin Gomez,ARG
Tanner Berg,USA
Ronald Mencia Zayas,CUB
Gabriel Kehr,CHI
Özkan Baltaci,TUR
Matija Gregurić,CRO
Humberto Mansilla,CHI
Christos Frantzeskakis,GRE
Rowan Hamilton,CAN
Marcin Wrotyński,POL
Jake Norris,GBR
Michail Anastasakis,GRE
Mostafa Elgamel,EGY
Dániel Rába,HUN
Ragnar Carlsson,SWE
Eivind Henriksen,NOR
Henri Liipola,FIN
Donát Varga,HUN
Jerome Vega,PUR
Halil Yilmazer,TUR
Shota Fukuda,JPN
Qi Wang,CHN
Giorgio Oliveri,ITA
Julian Weber,GER
Luiz Mauricio da Silva,BRA
Neeraj Chopra,IND
Curtis Thompson,USA
Yuta Sakiyama,JPN
Rumesh Tharanga Pathirage,SRI
Arshad Nadeem,PAK
Keshorn Walcott,TTO
Cyprian Mrzygłód,POL
Sumedha Ranasinghe,SRI
Anderson Peters,GRN
Sachin Yadav,IND
Roderick Genki Dean,JPN
Julius Yego,KEN
Marcin Krukowski,POL
Douw Smit,RSA
Edis Matusevičius,LTU
Oliver Helander,FIN
Rohit Yadav,IND
Dawid Wegner,POL
Marc Anthony Minichello,USA
Yash Vir Singh,IND
Cameron McEntyre,AUS
Jakub Vadlejch,CZE
Leandro Ramos,POR
Lassi Etelätalo,FIN
Lars Anthony Flaming,PAR
Eemil Porvari,FIN
Sindri Hrafn Guðmundsson,ISL
Simon Wieland,SUI
Artur Felfner,UKR
Keyshawn Strachan,BAH
Haoran Hu,CHN
Martin Konečný,CZE
Gen Naganuma,JPN
Billy Julio López,COL
Pedro Henrique Rodrigues,BRA
Sander Skotheim,NOR
Kyle Garland,USA
Niklas Kaul,GER
Simon Ehammer,SUI
Leo Neugebauer,GER
Damian Warner,CAN
Ayden Owens-Delerme,PUR
Heath Baldwin,USA
Karel Tilga,EST
Till Steinforth,GER
Makenson Gletty,FRA
Ondřej Kopecký,CZE
Johannes Erm,EST
Harrison Williams,USA
Antoine Ferranti,FRA
Kendrick Thompson,BAH
Austin West,USA
Tim Nowak,GER
Vilém Stráský,CZE
Jente Hauttekeete,BEL
José Fernando Ferreira,BRA
Xiang Fei,CHN
Pierce LePage,CAN
Lindon Victor,GRN
Sven Roosen,NED
Janek Õiglane,EST
20 Kilometers Race Walk,
Toshikazu Yamanishi,JPN
Satoshi Maruo,JPN
Zhaozhao Wang,CHN
Caio Bonfim,BRA
Kento Yoshikawa,JPN
Evan Dunfee,CAN
Haifeng Qian,CHN
Chenjie Li,CHN
Paul McGrath,ESP
Francesco Fortunato,ITA
Ricardo Ortiz,MEX
Gabriel Bordier,FRA
Yuta Koga,JPN
Diego García Carrera,ESP
Perseus Karlström,SWE
Rhydian Cowley,AUS
Andrea Cosi,ITA
Mukola Rushchak,UKR
David Hurtado,ECU
Christopher Linke,GER
Tim Fraser,AUS
Declan Tingay,AUS
Luis Henry Campos,PER
Will Thompson,AUS
Maher Ben Hlima,POL
Gianluca Picchiottino,ITA
Mateo Romero,COL
Serhii Svitlychnyi,UKR
Noel Chama,MEX
Leo Köpp,GER
Dominik Černý,SVK
David Kenny,IRL
Mazlum Demir,TUR
Aurélien Quinion,FRA
Servin Sebastian,IND
Bence Venyercsán,HUN
José Luis Doctor,MEX
Jerry Jokinen,FIN
Byeongkwang Choe,KOR
César Herrera,COL
Ihor Hlavan,UKR
Raivo Saulgriezis,LAT
Veli-Matti Partanen,FIN
Hayrettin Yildiz,TUR
Alexandros Papamichail,GRE
Matheus Correa,BRA
Max Batista Goncalves Dos Santos,BRA
Erick Bernabé Barrondo,GUA
Misgana Wakuma,ETH
Wayne Snyman,RSA
35 Kilometers Race Walk,
Evan Dunfee,CAN
Christopher Linke,GER
Miguel Ángel López,ESP
Hayato Katsuki,JPN
José Luis Doctor,MEX
Andres Eduardo Olivas Núñez,MEX
Satoshi Maruo,JPN
Rhydian Cowley,AUS
Qin Wang,CHN
Julio César Salazar,MEX
Kazuki Takahashi,JPN
Yingcheng Zhou,CHN
Jinrui Zhang,CHN
David Hurtado,ECU
Riccardo Orsoni,ITA
Aurélien Quinion,FRA
Dominik Černý,SVK
Matteo Giupponi,ITA
